player,nation,pos,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,club,season,player_clean,club_clean,goals_per90,xa_per90,ga_per90,pos_group,goals_norm,xg_norm,xag_norm,output_index_v0,annual_wage,transfer_fee,amortized_fee,cost_index_raw,cost_index_v2,value_index_v2,transfer_fee_corrected,market_value,cost_mv_raw,cost_mv,value_index_mv,cost_mv_log_raw,cost_mv_log,value_index_mv_log,age
Aaron Cresswell,eng ENG,"DF,FW",11,4,436.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,4.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,West Ham United,2023/24,aaron cresswell,west ham united,0.0,0.0,0.0,ATT,0.0,0.0,0.020270270265704892,0.007094594592996712,2756000.0,4.75,0.95,2756000.95,0.14850916118597338,0.047771778956676454,4.75,900000.0,900000.0,0.005,1.41863519156103,13.710151153416941,0.721265468372385,0.009836301705535297,33.0
Aaron Hickey,sct SCO,DF,9,9,713.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.3,9.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Brentford,2023/24,aaron hickey,brentford,0.0,0.0,0.0,DEF,0.0,0.009287925693718908,0.002252252251744988,0.0026458734268545274,1820000.0,0.0,1.0,1820000.0,0.09690362698322734,0.027303891560435875,5.0,28000000.0,28000000.0,0.15555555555555556,0.017009076971427145,17.147715103853763,0.9021092931433401,0.0029329821940454383,21.0
Aaron Ramsdale,eng ENG,GK,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,2023/24,aaron ramsdale,arsenal,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,4316000.0,0.0,1.0,4316000.0,0.23451824518426023,0.0,5.0,25000000.0,25000000.0,0.1388888888888889,0.0,17.034386422832473,0.8961472827116408,0.0,25.0
Aaron Ramsey,eng ENG,"MF,FW",14,5,527.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,8.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,Burnley,2023/24,aaron ramsey,burnley,0.0,0.0,0.0,ATT,0.0,0.018575851387437815,0.015765765762214917,0.009233188294262784,1456000.0,0.0,1.0,1456000.0,0.0768348284955767,0.12016774563437319,5.0,15000000.0,15000000.0,0.08333333333333333,0.1107969299679938,16.52356082573315,0.8692737012736549,0.010621715184779201,20.0
Aaron Wan-Bissaka,eng ENG,DF,22,20,1780.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.5,1.6,30.0,77.0,54.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.08,0.01,0.08,Manchester United,2023/24,aaron wanbissaka,manchester united,0.0,0.10101010101010101,0.10101010101010101,DEF,0.0,0.0030959752312396363,0.018018018013959903,0.006925501351133893,5200000.0,55.0,11.0,5200011.0,0.28325736227180565,0.024449415352082015,55.0,20000000.0,20000000.0,0.1111111111111111,0.062328951199644246,16.811242881518265,0.8844081173998016,0.007830653500605179,25.0
Abdoulaye Doucouré,ml MLI,"FW,MF",32,32,2629.0,29.2,7.0,1.0,8.0,7.0,0.0,0.0,7.0,0.0,8.8,8.8,2.9,11.6,55.0,97.0,140.0,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,Everton,2023/24,abdoulaye doucoure,everton,0.2397260273972603,0.03424657534246575,0.273972602739726,ATT,0.09589041092054795,0.09287925693718908,0.02252252251744988,0.06960941918279186,6240000.0,0.0,1.0,6240000.0,0.34059618004755643,0.2043746198165015,5.0,10000000.0,10000000.0,0.05555555555555555,1.252946992244393,16.118095750958314,0.8479429403073012,0.0820920061738573,30.0
Adam Lallana,eng ENG,"MF,FW",25,13,850.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.7,2.5,9.0,39.0,55.0,0.0,0.11,0.11,0.0,0.11,0.09,0.18,0.27,0.09,0.27,Brighton,2023/24,adam lallana,brighton,0.0,0.10638297872340426,0.10638297872340426,ATT,0.0,0.027863777081156723,0.040540540531409784,0.019761944602224767,3640000.0,0.0,1.0,3640000.0,0.1972476194214805,0.10018799959252175,5.0,1000000.0,1000000.0,0.005555555555555556,3.556509856626265,13.815511557963774,0.7268082826479546,0.027190000284843474,35.0
Adam Smith,eng ENG,DF,28,25,2150.0,23.9,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,1.3,1.4,24.0,89.0,28.0,0.0,0.08,0.08,0.0,0.08,0.0,0.05,0.06,0.0,0.06,Bournemouth,2023/24,adam smith,bournemouth,0.0,0.08368200836820085,0.08368200836820085,DEF,0.0,0.0,0.01126126125872494,0.003941441440553729,1716000.0,0.0,1.0,1716000.0,0.0911696845581843,0.04323145602837211,5.0,1000000.0,1000000.0,0.005555555555555556,0.7093317795793469,13.815511557963774,0.7268082826479546,0.005422937673820065,32.0
Adam Webster,eng ENG,DF,15,13,1144.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.6,16.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Brighton,2023/24,adam webster,brighton,0.0,0.0,0.0,DEF,0.0,0.009287925693718908,0.002252252251744988,0.0026458734268545274,3016000.0,0.0,1.0,3016000.0,0.16284396487122227,0.01624780618146151,5.0,20000000.0,20000000.0,0.1111111111111111,0.023812646527871996,16.811242881518265,0.8844081173998016,0.0029916849281625474,28.0
Adam Wharton,eng ENG,MF,16,15,1297.0,14.4,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.4,2.8,14.0,79.0,10.0,0.0,0.21,0.21,0.0,0.21,0.02,0.17,0.19,0.02,0.19,Crystal Palace,2023/24,adam wharton,crystal palace,0.0,0.20833333333333331,0.20833333333333331,MID,0.0,0.006191950462479273,0.0382882882796648,0.014639290990378535,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.10463423059850238,5.0,30000000.0,30000000.0,0.16666666666666666,0.08783521893095764,17.216707972959764,0.9057388792429575,0.016162798310939405,19.0
