player,club,age,pos,pos_group,min,market_value,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Aaron Cresswell,West Ham United,33.0,"DF,FW",ATT,436.0,900000.0,0.0,0.0,0.09,0.007094594592996712,1.41863519156103,0.009836301705535297
Aaron Hickey,Brentford,21.0,DF,DEF,713.0,28000000.0,0.0,0.03,0.01,0.0026458734268545274,0.017009076971427145,0.0029329821940454383
Aaron Ramsdale,Arsenal,25.0,GK,GK,540.0,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,Burnley,20.0,"MF,FW",ATT,527.0,15000000.0,0.0,0.06,0.07,0.009233188294262784,0.1107969299679938,0.010621715184779201
Aaron Wan-Bissaka,Manchester United,25.0,DF,DEF,1780.0,20000000.0,0.0,0.01,0.08,0.006925501351133893,0.062328951199644246,0.007830653500605179
Abdoulaye Doucouré,Everton,30.0,"FW,MF",ATT,2629.0,10000000.0,0.2397260273972603,0.3,0.1,0.06960941918279186,1.252946992244393,0.0820920061738573
Adam Lallana,Brighton,35.0,"MF,FW",ATT,850.0,1000000.0,0.0,0.09,0.18,0.019761944602224767,3.556509856626265,0.027190000284843474
Adam Smith,Bournemouth,32.0,DF,DEF,2150.0,1000000.0,0.0,0.0,0.05,0.003941441440553729,0.7093317795793469,0.005422937673820065
Adam Webster,Brighton,28.0,DF,DEF,1144.0,20000000.0,0.0,0.03,0.01,0.0026458734268545274,0.023812646527871996,0.0029916849281625474
Adam Wharton,Crystal Palace,19.0,MF,MID,1297.0,30000000.0,0.0,0.02,0.17,0.014639290990378535,0.08783521893095764,0.016162798310939405
Adama Traoré,Fulham,27.0,"FW,MF",ATT,377.0,9000000.0,0.47619047619047616,0.36,0.17,0.12140620824280807,2.4280756033440944,0.1441192387442493
Albert Sambi Lokonga,Luton Town,23.0,MF,MID,1303.0,15000000.0,0.06896551724137931,0.04,0.1,0.02277345616458193,0.27327819463664754,0.026198227247628887
Alejandro Garnacho,Manchester United,19.0,FW,ATT,2565.0,45000000.0,0.24561403508771928,0.29,0.18,0.07635637182528857,0.30542426560409186,0.08236305672646577
Alejo Véliz,Tottenham Hotspur,19.0,FW,ATT,50.0,9000000.0,1.6666666666666667,0.45,0.0,0.32786377696115676,6.557144396335208,0.38920149662326164
Aleksandar Mitrović,Fulham,28.0,FW,ATT,33.0,28000000.0,0.0,0.44,0.0,0.0272445820349088,0.1751426157361697,0.030200943545358478
Alex Iwobi,Everton,27.0,MF,MID,140.0,25000000.0,0.0,0.21,0.14,0.024039132004756915,0.17308050425461916,0.026824949027428015
Alex Iwobi,Everton,27.0,MF,MID,140.0,25000000.0,0.0,0.21,0.14,0.024039132004756915,0.17308050425461916,0.026824949027428015
Alex Iwobi,Fulham,27.0,"FW,MF",ATT,2192.0,25000000.0,0.20491803278688525,0.22,0.19,0.06548501437844381,0.471488708806092,0.07307386025479372
Alex Iwobi,Fulham,27.0,"FW,MF",ATT,2192.0,25000000.0,0.20491803278688525,0.22,0.19,0.06548501437844381,0.471488708806092,0.07307386025479372
Alex Matos,Chelsea,18.0,MF,MID,1.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Moreno,Aston Villa,30.0,DF,DEF,1031.0,13000000.0,0.17391304347826086,0.1,0.1,0.04537918115715195,0.6283184239208497,0.052659552038785064
Alex Murphy,Newcastle United,19.0,"DF,FW",ATT,13.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Scott,Bournemouth,19.0,MF,MID,1014.0,20000000.0,0.08849557522123894,0.06,0.15,0.03146869813260007,0.2832157342517924,0.03558160755411399
