player,club,age,min,market_value,price_tier,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Aaron Cresswell,West Ham United,33.000000,436.000000,900000.000000,LOW,0.000000,0.000000,0.090000,0.007095,1.418635,0.009836
Aaron Ramsey,Burnley,20.000000,527.000000,15000000.000000,MID,0.000000,0.060000,0.070000,0.009233,0.110797,0.010622
Abdoulaye Doucouré,Everton,30.000000,2629.000000,10000000.000000,LOW,0.239726,0.300000,0.100000,0.069609,1.252947,0.082092
Adam Lallana,Brighton,35.000000,850.000000,1000000.000000,LOW,0.000000,0.090000,0.180000,0.019762,3.556510,0.027190
Adama Traoré,Fulham,27.000000,377.000000,9000000.000000,LOW,0.476190,0.360000,0.170000,0.121406,2.428076,0.144119
Alejandro Garnacho,Manchester United,19.000000,2565.000000,45000000.000000,MID,0.245614,0.290000,0.180000,0.076356,0.305424,0.082363
Alejo Véliz,Tottenham Hotspur,19.000000,50.000000,9000000.000000,LOW,1.666667,0.450000,0.000000,0.327864,6.557144,0.389201
Aleksandar Mitrović,Fulham,28.000000,33.000000,28000000.000000,MID,0.000000,0.440000,0.000000,0.027245,0.175143,0.030201
Alex Iwobi,Fulham,27.000000,2192.000000,25000000.000000,MID,0.204918,0.220000,0.190000,0.065485,0.471489,0.073074
Alex Iwobi,Fulham,27.000000,2192.000000,25000000.000000,MID,0.204918,0.220000,0.190000,0.065485,0.471489,0.073074
Alex Murphy,Newcastle United,19.000000,13.000000,250000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Alexander Isak,Newcastle United,23.000000,2255.000000,75000000.000000,ELITE,0.836653,0.810000,0.150000,0.212577,0.510183,0.222840
Amad Diallo,Manchester United,21.000000,390.000000,18000000.000000,MID,0.232558,0.120000,0.240000,0.068210,0.682090,0.077611
Anass Zaroury,Burnley,22.000000,152.000000,9000000.000000,LOW,0.000000,0.100000,0.020000,0.007769,0.155367,0.009222
André Gomes,Everton,30.000000,508.000000,10000000.000000,LOW,0.178571,0.050000,0.070000,0.040757,0.733610,0.048066
Andros Townsend,Luton Town,32.000000,1210.000000,1800000.000000,LOW,0.074627,0.090000,0.100000,0.026888,2.688579,0.035485
Ansu Fati,Brighton,20.000000,521.000000,25000000.000000,MID,0.344828,0.590000,0.140000,0.109638,0.789384,0.122343
Anthony Elanga,Nottingham Forest,21.000000,2433.000000,22000000.000000,MID,0.185185,0.240000,0.250000,0.067901,0.555551,0.076343
Anthony Gordon,Newcastle United,22.000000,2890.000000,60000000.000000,MID,0.342679,0.320000,0.250000,0.101204,0.303610,0.107412
Anthony Martial,Manchester United,27.000000,448.000000,10000000.000000,LOW,0.200000,0.250000,0.050000,0.055421,0.997566,0.065360
Antoine Semenyo,Bournemouth,23.000000,2105.000000,10000000.000000,LOW,0.341880,0.200000,0.140000,0.084958,1.529224,0.100193
Antony,Manchester United,23.000000,1324.000000,25000000.000000,MID,0.068027,0.230000,0.190000,0.041464,0.298538,0.046269
Antwoine Hackford,Sheffield United,19.000000,13.000000,13000000.000000,MID,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Armando Broja,Chelsea,21.000000,454.000000,22000000.000000,MID,0.200000,0.470000,0.030000,0.067467,0.551998,0.075855
Armando Broja,Chelsea,21.000000,454.000000,22000000.000000,MID,0.200000,0.470000,0.030000,0.067467,0.551998,0.075855
Armando Broja,Fulham,21.000000,88.000000,22000000.000000,MID,0.000000,0.000000,0.410000,0.032320,0.264433,0.036338
Armando Broja,Fulham,21.000000,88.000000,22000000.000000,MID,0.000000,0.000000,0.410000,0.032320,0.264433,0.036338
Arnaut Danjuma,Everton,26.000000,595.000000,13000000.000000,MID,0.151515,0.400000,0.170000,0.065441,0.906100,0.075940
Ben Brereton,Sheffield United,24.000000,1105.000000,13000000.000000,MID,0.487805,0.490000,0.120000,0.127605,1.766813,0.148077
Ben Doak,Liverpool,17.000000,14.000000,10000000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Ben Johnson,West Ham United,23.000000,544.000000,8000000.000000,LOW,0.000000,0.030000,0.000000,0.001858,0.041795,0.002221
Ben Parkinson,Newcastle United,18.000000,25.000000,250000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Benicio Boaitey,Brighton,19.000000,40.000000,13000000.000000,MID,0.000000,0.050000,0.130000,0.013344,0.184757,0.015485
Bénie Adama Traore,Sheffield United,20.000000,387.000000,13000000.000000,MID,0.000000,0.060000,0.130000,0.013963,0.193330,0.016203
Benson Manuel,Burnley,26.000000,116.000000,5000000.000000,LOW,0.000000,0.050000,0.030000,0.005461,0.196583,0.006729
Bernardo Silva,Manchester City,28.000000,2578.000000,70000000.000000,ELITE,0.209790,0.130000,0.270000,0.067096,0.172531,0.070604
Bertrand Traoré,Aston Villa,27.000000,11.000000,9000000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Beto,Everton,25.000000,951.000000,20000000.000000,MID,0.283019,0.640000,0.090000,0.097666,0.878990,0.110431
Bobby Reid,Fulham,30.000000,1423.000000,13000000.000000,MID,0.379747,0.280000,0.110000,0.094363,1.306547,0.109502
Brandon Aguilera,Nottingham Forest,20.000000,5.000000,300000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Brennan Johnson,Nottingham Forest,22.000000,237.000000,48000000.000000,MID,0.000000,0.120000,0.080000,0.013737,0.051512,0.014763
Brennan Johnson,Nottingham Forest,22.000000,237.000000,48000000.000000,MID,0.000000,0.120000,0.080000,0.013737,0.051512,0.014763
Brennan Johnson,Tottenham Hotspur,22.000000,2085.000000,48000000.000000,MID,0.215517,0.440000,0.350000,0.093628,0.351103,0.100625
Brennan Johnson,Tottenham Hotspur,22.000000,2085.000000,48000000.000000,MID,0.215517,0.440000,0.350000,0.093628,0.351103,0.100625
Bruno Fernandes,Manchester United,28.000000,3118.000000,70000000.000000,ELITE,0.289017,0.290000,0.340000,0.096782,0.248866,0.101842
Bryan Gil,Tottenham Hotspur,22.000000,209.000000,14000000.000000,MID,0.000000,0.320000,0.090000,0.026909,0.345966,0.031085
Bryan Mbeumo,Brentford,23.000000,1960.000000,40000000.000000,MID,0.412844,0.450000,0.210000,0.118730,0.534282,0.128932
Bukayo Saka,Arsenal,21.000000,2919.000000,140000000.000000,ELITE,0.493827,0.480000,0.320000,0.143835,0.184931,0.145762
Callum Hudson-Odoi,Nottingham Forest,22.000000,1854.000000,18000000.000000,MID,0.388350,0.130000,0.140000,0.088988,0.889876,0.101254
